VARIABLE,IMPORTANCE
num__MOIS_NUMERO,0.18996893223201297
num__PRIME_TTC_FCFA,0.12219154447408707
num__COMMISSION_FCFA,0.11383669598676391
num__ANNEE_EMISSION,0.11365663487843587
num__NUMERO_AVENANT,0.08662746767354229
cat__COMPAGNIE_ID_COMPAGNIE_01,0.06757019915237097
cat__COMPAGNIE_ID_COMPAGNIE_03,0.034820771762750446
cat__COMPAGNIE_ID_COMPAGNIE_09,0.026853277828455036
cat__COMPAGNIE_ID_COMPAGNIE_05,0.024075654911254397
cat__COMPAGNIE_ID_COMPAGNIE_02,0.02170036375408404
cat__BRANCHE_AUTOMOBILE,0.018396509150241543
num__TAUX_COMMISSION_PCT,0.015978868012432916
cat__TYPE_AVENANT_RENOUVELLEMENT,0.015490204497770827
cat__TYPE_AVENANT_AFFAIRE NOUVELLE,0.013773433381159585
cat__TYPE_CLIENT_PERSONNE PHYSIQUE,0.013056184837805818
cat__CATEGORIE_0,0.012684318151370097
cat__COMPAGNIE_ID_COMPAGNIE_04,0.011826930383525038
cat__TYPE_CLIENT_PERSONNE MORALE,0.011794157218673875
cat__CATEGORIE_MONO AUTO,0.01142020270215948
cat__COMPAGNIE_ID_COMPAGNIE_06,0.009310462410393709
cat__CATEGORIE_FLOTTE AUTOMOBILE,0.007867581280789038
cat__TYPE_AVENANT_INCORPORATION,0.0075214323702155386
cat__BRANCHE_TRAVEL ASSURANCE,0.005524912384219958
cat__COMPAGNIE_ID_COMPAGNIE_07,0.00519106423917255
cat__BRANCHE_ASSURANCE SANTE,0.004809040021344564
cat__TYPE_AVENANT_PROROGATION,0.004191213758063485
cat__CATEGORIE_ASSURANCE MALADIE GROUPE,0.0038957911625932904
cat__CATEGORIE_INCENDIE,0.0036530252477074165
cat__CATEGORIE_DOMMAGES AUX BIENS,0.0029840541118806717
cat__BRANCHE_ASSURANCE RENTE EDUCATION,0.002491020623816332
cat__TYPE_AVENANT_MODIFICATION,0.002205679613017337
cat__CATEGORIE_TERRESTRE,0.0018937276516426515
cat__CATEGORIE_RESPONSABILITE,0.0018671043748992185
cat__BRANCHE_RC CHEF D'ENTREPRISE,0.001707714502936544
cat__BRANCHE_ASSURANCES TRANSPORTS,0.0015738204661721964
cat__CATEGORIE_FLOTTE MOTO,0.0015615240862186036
cat__BRANCHE_MULTIRISQUE PROFESSIONNELLE,0.001210710209165251
cat__CATEGORIE_AERIEN,0.0006602868942074168
cat__BRANCHE_TOUS RISQUES CHANTIER,0.0006435173702971169
cat__BRANCHE_ASSURANCE CAUTION,0.0005672420991574805
cat__COMPAGNIE_ID_COMPAGNIE_12,0.0005259734426705529
cat__BRANCHE_INDIVIDUELLE ACCIDENTS,0.0005122291767182052
cat__COMPAGNIE_ID_COMPAGNIE_08,0.0005080885332013326
cat__CATEGORIE_MARITIME,0.00040424747733201814
cat__BRANCHE_RETRAITE COMPLEMENTAIRE,0.00025994237641125306
cat__CATEGORIE_MONO MOTO,0.00023740609522222172
cat__BRANCHE_RC SCOLAIRE,0.00016318516010731764
cat__BRANCHE_BRIS DE MACHINE,0.00014443142091946943
cat__TYPE_AVENANT_RESILIATION,9.897868268660239e-05
cat__BRANCHE_GLOBALE DOMMAGES,5.846820846147867e-05
cat__TYPE_AVENANT_RÉGULARISATION,1.3547942342470148e-05
cat__BRANCHE_RC TRANSPORTEUR,1.1294889864956247e-05
cat__COMPAGNIE_ID_COMPAGNIE_11,8.930727255632595e-06
cat__BRANCHE_ACCESSOIRE COMPAGNIE,0.0
cat__COMPAGNIE_ID_COMPAGNIE_10,0.0
cat__BRANCHE_GLOBALE DE BANQUE,0.0
cat__BRANCHE_MULTIRISQUE HABITATION,0.0
cat__BRANCHE_ASSURANCE CREDIT BANCAIRE,0.0
cat__BRANCHE_ASSURANCE VIE,0.0
cat__CATEGORIE_ASSURANCE DE PERSONNES,0.0
cat__BRANCHE_VIOLENCE POLITIQUE,0.0
cat__TYPE_AVENANT_AJUSTEMENT,0.0
cat__TYPE_AVENANT_PRECISION,0.0
cat__TYPE_AVENANT_RETRAIT,0.0
