BRANCHE,NOMBRE_OPERATIONS,NOMBRE_CLIENTS,PRIME_TTC_FCFA,COMMISSION_FCFA,PART_PRIMES_PCT
ASSURANCE SANTE,107,23,1182833500,116181400,61.6
AUTOMOBILE,1986,684,321488300,43901700,16.74
GLOBALE DOMMAGES,11,8,91824000,14951000,4.78
BRIS DE MACHINE,8,2,86657500,13656400,4.51
TOUS RISQUES CHANTIER,9,4,77412000,11656500,4.03
ASSURANCES TRANSPORTS,34,8,67195800,9381800,3.5
ASSURANCE CAUTION,13,6,19268600,2353000,1.0
MULTIRISQUE PROFESSIONNELLE,28,14,17340100,2841100,0.9
RC CHEF D'ENTREPRISE,35,25,11019600,1630000,0.57
TEMPORAIRE DECES,1,1,9331300,933100,0.49
RC TRANSPORTEUR,4,2,8017200,1224100,0.42
GLOBALE DE BANQUE,1,1,7665000,1162500,0.4
TRAVEL ASSURANCE,194,146,4073100,323300,0.21
VIOLENCE POLITIQUE,2,1,3333000,323900,0.17
ASSURANCE CREDIT BANCAIRE,2,2,2875200,350600,0.15
ACCESSOIRE COMPAGNIE,3,2,2843100,2843100,0.15
RC SCOLAIRE,15,7,2164400,314800,0.11
INDIVIDUELLE ACCIDENTS,10,3,1882100,314900,0.1
RC EXPLOITATION,5,4,827600,119200,0.04
ASSURANCE CREDIT,1,1,656000,65500,0.03
ASSURANCE RENTE EDUCATION,35,7,654700,96400,0.03
MULTIRISQUE HABITATION,3,3,515000,79500,0.03
RETRAITE COMPLEMENTAIRE,29,4,230600,24200,0.01
TOUS RISQUES MONTAGE,1,1,159700,23300,0.01
ASSURANCE VIE,2,1,33300,5200,0.0
