COMPAGNIE_ID,NOMBRE_OPERATIONS,NOMBRE_CLIENTS,PRIME_TTC_FCFA,COMMISSION_FCFA,DELAI_MEDIAN_JOURS,PART_PRIMES_PCT
COMPAGNIE_05,80,41,646539400,63913900,74.0,33.67
COMPAGNIE_03,626,257,536966500,61008300,27.5,27.96
COMPAGNIE_02,454,244,152820300,21040100,28.0,7.96
COMPAGNIE_07,90,25,151399100,21754400,26.5,7.88
COMPAGNIE_09,102,53,147709000,20976000,18.5,7.69
COMPAGNIE_01,652,261,132620300,16536600,28.0,6.91
COMPAGNIE_04,250,116,104771900,12846800,39.0,5.46
COMPAGNIE_06,218,31,23198700,3088500,26.0,1.21
COMPAGNIE_08,40,10,12284400,2207900,0.0,0.64
COMPAGNIE_11,5,2,9550800,1048100,0.0,0.5
COMPAGNIE_12,13,2,2323600,320000,0.0,0.12
COMPAGNIE_10,9,2,116700,15900,0.0,0.01
