DATE_EMISSION,NOMBRE_OPERATIONS,NOMBRE_CLIENTS,PRIME_TTC_FCFA,COMMISSION_FCFA,TAUX_COMMISSION_OBSERVE_PCT
2024-01-01,51,48,7771200,1054000,13.562898908791436
2024-02-01,157,108,53202400,7372300,13.857081635414945
2024-03-01,106,85,226150800,26910700,11.899449393944218
2024-04-01,68,59,7108700,938100,13.196505690210586
2024-05-01,150,95,32867200,5121900,15.583621361113817
2024-06-01,72,67,-1259400,-176600,
2024-07-01,80,71,18076400,2277000,12.596534708238366
2024-08-01,79,72,11661900,1429300,12.256150370008317
2024-09-01,81,72,17098200,1980100,11.580751190183761
2024-10-01,83,66,8698400,1160900,13.34613262209142
2024-11-01,85,71,54401100,8918800,16.394521434309233
2024-12-01,98,76,22859300,3217100,14.073484314917781
2025-01-01,107,79,38640400,4596500,11.895580791089118
2025-02-01,73,61,7866900,987000,12.546238035312513
2025-03-01,72,60,57721100,8659600,15.002486092607384
2025-04-01,68,61,174945300,19278800,11.019901649258369
2025-05-01,84,71,77480200,11280600,14.559332577871508
2025-06-01,64,58,62348300,9180400,14.724379012739721
2025-07-01,64,55,25402400,3107300,12.23230875822757
2025-08-01,71,64,668149800,66822600,10.001140462812382
2025-09-01,37,32,3921800,454000,11.576316997297159
2025-10-01,80,73,16711600,2366900,14.163215969745565
2025-11-01,64,61,7040900,941200,13.367609254498714
2025-12-01,84,63,68703900,7844800,11.418274653986165
2026-01-01,133,88,33469200,4371500,13.061262294886046
2026-02-01,61,49,17296100,2179700,12.602262937887732
2026-03-01,66,55,133292100,13557900,10.171570558195121
2026-04-01,60,55,3326800,589900,17.731754238307083
2026-05-01,86,70,18398800,2077200,11.289866730438941
2026-06-01,84,75,40764400,5439200,13.343014983662215
2026-07-01,63,54,6002500,800100,13.32944606413994
2026-08-01,8,8,182000,17700,9.725274725274726
