TYPE_AVENANT,NOMBRE_OPERATIONS,PRIME_TTC_FCFA,COMMISSION_FCFA,PART_OPERATIONS_PCT
AFFAIRE NOUVELLE,868,1120410100,128711100,34.19
RENOUVELLEMENT,1198,747827000,85797200,47.18
INCORPORATION,294,46881300,5922400,11.58
RÉGULARISATION,28,8037600,3696000,1.1
PROROGATION,112,5543000,746000,4.41
AJUSTEMENT,3,1860100,1106400,0.12
MODIFICATION,18,1160400,155800,0.71
CHANGEMENT D'IMMATRICULATION,2,2300,0,0.08
PRECISION,1,2100,0,0.04
SUSPENSION,1,0,0,0.04
RESILIATION,7,-3203400,-300200,0.28
RETRAIT,7,-8219800,-1078200,0.28
