VARIABLE,TYPE_PYTHON,VALEURS_MANQUANTES,TAUX_MANQUANT_PCT,NOMBRE_MODALITES
ID_OPERATION,object,0,0.0,2539
CLIENT_ID,object,0,0.0,867
TYPE_CLIENT,object,0,0.0,2
COMPAGNIE_ID,object,0,0.0,12
POLICE_ID,object,0,0.0,1399
NUMERO_AVENANT,int64,0,0.0,188
BRANCHE,object,0,0.0,25
CATEGORIE,object,0,0.0,13
TYPE_AVENANT,object,0,0.0,12
DATE_EFFET,datetime64[ns],26,1.02,972
DATE_ECHEANCE,datetime64[ns],63,2.48,1037
DATE_EMISSION,datetime64[ns],0,0.0,843
DATE_ENCAISSEMENT_PRIME,datetime64[ns],1,0.04,858
DATE_ENCAISSEMENT_COMMISSION,datetime64[ns],0,0.0,839
DATE_PAIEMENT_COMMISSION,datetime64[ns],797,31.39,643
PRIME_NETTE_FCFA,int64,0,0.0,1339
PRIME_RC_FCFA,int64,0,0.0,734
TAXE_FCFA,int64,0,0.0,438
COUT_POLICE_FCFA,int64,0,0.0,175
PRIME_TTC_FCFA,int64,0,0.0,1407
TAUX_COMMISSION_PCT,int64,0,0.0,18
COMMISSION_FCFA,int64,0,0.0,613
FRAIS_ACCESSOIRES_FCFA,int64,0,0.0,1
FRAIS_GESTION_FCFA,int64,0,0.0,1
ANNEE_EMISSION,int64,0,0.0,3
MOIS_EMISSION,object,0,0.0,32
DELAI_PAIEMENT_COMMISSION_JOURS,float64,797,31.39,176
STATUT_PAIEMENT_COMMISSION,object,0,0.0,2
CONTROLE_DATES,object,0,0.0,4
