CLIENT_ID,NOMBRE_OPERATIONS,NOMBRE_POLICES,PRIME_TTC_FCFA,COMMISSION_FCFA,PART_PRIMES_PCT,PART_CUMULEE_PCT
CLIENT_0555,6,5,679118400,69750100,35.36521129216898,35.36521129216898
CLIENT_0043,73,16,498522500,55394400,25.96064772564005,61.32585901780903
CLIENT_0157,65,37,118613300,16166500,6.176808663351526,67.50266768116056
CLIENT_0643,3,3,56565600,8561900,2.9456636661122917,70.44833134727286
CLIENT_0671,2,1,44397400,6737000,2.3120024900266922,72.76033383729954
CLIENT_0554,5,4,36480200,3614500,1.8997128939233319,74.66004673122288
CLIENT_0060,6,3,35846600,4803200,1.8667180613952803,76.52676479261815
CLIENT_0286,9,3,35433000,3463500,1.8451797679394693,78.37194456055762
CLIENT_0699,4,3,35177400,4923800,1.8318693525446301,80.20381391310225
CLIENT_0051,23,15,20982600,2300700,1.092672621532659,81.29648653463491
CLIENT_0289,15,3,17682300,1843700,0.9208089128957773,82.21729544753069
CLIENT_0190,11,5,17377600,1931700,0.9049416062807246,83.12223705381142
CLIENT_0076,14,10,16508000,2642000,0.8596570318388157,83.98189408565024
CLIENT_0593,1,1,14712700,1421200,0.7661664654915764,84.74806055114182
CLIENT_0834,1,1,10095800,999500,0.5257405780250978,85.27380112916691
CLIENT_0126,4,2,10064000,978400,0.5240845873773831,85.7978857165443
CLIENT_0484,1,1,9331300,933100,0.48592910474906353,86.28381482129336
CLIENT_0039,12,7,8237200,2567900,0.4289536529357095,86.71276847422907
CLIENT_0010,12,5,7968800,1099300,0.41497667526757653,87.12774514949665
CLIENT_0681,1,1,7810900,1120500,0.4067540047243643,87.53449915422101
CLIENT_0749,1,1,7665000,1162500,0.3991562363123651,87.93365539053337
CLIENT_0409,2,1,7128000,703300,0.37119186594057896,88.30484725647395
CLIENT_0050,156,4,6727200,897200,0.35032013475806156,88.65516739123201
CLIENT_0444,11,8,6345800,775200,0.3304586620210053,88.98562605325301
CLIENT_0167,6,3,6050800,976000,0.3150964846286834,89.3007225378817
CLIENT_0032,1,1,4765500,801300,0.24816425885800072,89.5488867967397
CLIENT_0300,5,3,4453500,612900,0.23191680344646026,89.78080360018616
CLIENT_0546,5,5,3983900,602700,0.20746230004498772,89.98826590023116
CLIENT_0584,3,3,3621100,389600,0.18856942561131182,90.17683532584246
CLIENT_0265,2,2,3476300,616200,0.18102893989467378,90.35786426573713
CLIENT_0240,17,8,3351800,449600,0.17454558028333791,90.53240984602047
CLIENT_0067,13,7,3128400,418000,0.16291198560725412,90.69532183162772
CLIENT_0236,8,5,3082900,411000,0.16054256502640446,90.85586439665413
CLIENT_0134,8,4,2688400,387700,0.13999890746277394,90.9958633041169
CLIENT_0077,5,1,2451400,324900,0.12765709037131528,91.12352039448821
CLIENT_0045,15,8,2344700,318000,0.12210066892127884,91.24562106340949
CLIENT_0099,4,3,2325000,279600,0.12107478792253734,91.36669585133203
CLIENT_0118,3,3,2324700,372600,0.12105916536925701,91.48775501670129
CLIENT_0308,8,4,2133200,296600,0.11108676885864802,91.59884178555993
CLIENT_0813,1,1,2105800,273800,0.10965990899237812,91.70850169455231
CLIENT_0027,8,3,2087800,281300,0.10872255579555848,91.81722425034786
CLIENT_0075,10,7,2009800,266900,0.10466069194267336,91.92188494229053
CLIENT_0790,1,1,1899200,298800,0.09890117729999266,92.02078611959053
CLIENT_0293,6,3,1586000,211400,0.08259123167533085,92.10337735126586
CLIENT_0100,4,4,1531400,207500,0.07974792697831126,92.18312527824418
CLIENT_0495,6,5,1525100,203700,0.07941985335942439,92.2625451316036
CLIENT_0111,11,3,1457500,192300,0.07589957135359061,92.33844470295719
CLIENT_0195,5,3,1431600,203100,0.07455082425372235,92.41299552721091
CLIENT_0059,13,4,1388600,181300,0.07231159161687542,92.48530711882779
CLIENT_0072,13,10,1385800,178900,0.07216578111959236,92.55747289994738
CLIENT_0068,3,1,1314500,177000,0.06845282095663455,92.62592572090402
CLIENT_0769,1,1,1304400,128700,0.06792686166286353,92.69385258256689
CLIENT_0417,2,1,1286100,180900,0.06697388591276356,92.76082646847965
CLIENT_0716,2,2,1284200,173600,0.06687494307532148,92.82770141155497
CLIENT_0621,3,2,1243800,165700,0.0647711059002374,92.8924725174552
CLIENT_0193,6,3,1236100,164200,0.06437012703270899,92.9568426444879
CLIENT_0216,6,5,1208900,160200,0.06295368220195931,93.01979632668987
CLIENT_0112,7,2,1179400,157700,0.06141746446272711,93.08121379115259
CLIENT_0387,6,4,1178000,157700,0.06134455921408559,93.14255835036668
CLIENT_0084,25,14,1177400,143000,0.061313314107524934,93.2038716644742
CLIENT_0676,2,1,1154500,154700,0.06012079254045994,93.26399245701467
CLIENT_0136,3,2,1132100,113700,0.058954308562195495,93.32294676557686
CLIENT_0295,4,3,1128000,148900,0.05874080033403102,93.3816875659109
CLIENT_0078,4,1,1116300,149400,0.05813152075609825,93.43981908666699
CLIENT_0824,1,1,1089500,146400,0.056735905996389,93.49655499266338
CLIENT_0534,1,1,1087400,1087400,0.05662654812342671,93.55318154078681
CLIENT_0320,5,5,1028500,158000,0.05355932016272243,93.60674086094953
CLIENT_0518,14,9,1026900,127900,0.053475999878560686,93.66021686082809
CLIENT_0319,1,1,989500,989500,0.051528388236279865,93.71174524906436
CLIENT_0811,2,1,986800,132900,0.05138778525675692,93.76313303432111
